Year,J,F,M,A,M,J,J,A,S,O,N,D
507,-1.851,-1.851,-1.851,-1.851,-1.851,-1.851,-1.851,-1.851,-1.851,-1.851,-1.851,-1.851
508,-3.596,-3.596,-3.596,-3.596,-3.596,-3.596,-3.596,-3.596,-3.596,-3.596,-3.596,-3.596
509,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745,-0.745
510,-2.444,-2.444,-2.444,-2.444,-2.444,-2.444,-2.444,-2.444,-2.444,-2.444,-2.444,-2.444
511,-2.64,-2.64,-2.64,-2.64,-2.64,-2.64,-2.64,-2.64,-2.64,-2.64,-2.64,-2.64
512,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
513,1.734,1.734,1.734,1.734,1.734,1.734,1.734,1.734,1.734,1.734,1.734,1.734
514,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236
515,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676
516,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226
517,0.5910001,0.5910001,0.5910001,0.5910001,0.5910001,0.5910001,0.5910001,0.5910001,0.5910001,0.5910001,0.5910001,0.5910001
518,-0.9120001,-0.9120001,-0.9120001,-0.9120001,-0.9120001,-0.9120001,-0.9120001,-0.9120001,-0.9120001,-0.9120001,-0.9120001,-0.9120001
519,-3.282,-3.282,-3.282,-3.282,-3.282,-3.282,-3.282,-3.282,-3.282,-3.282,-3.282,-3.282
520,-1.665,-1.665,-1.665,-1.665,-1.665,-1.665,-1.665,-1.665,-1.665,-1.665,-1.665,-1.665
521,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13
522,-0.995,-0.995,-0.995,-0.995,-0.995,-0.995,-0.995,-0.995,-0.995,-0.995,-0.995,-0.995
523,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056
524,3.902,3.902,3.902,3.902,3.902,3.902,3.902,3.902,3.902,3.902,3.902,3.902
525,2.088,2.088,2.088,2.088,2.088,2.088,2.088,2.088,2.088,2.088,2.088,2.088
526,-1.429,-1.429,-1.429,-1.429,-1.429,-1.429,-1.429,-1.429,-1.429,-1.429,-1.429,-1.429
527,-2.013,-2.013,-2.013,-2.013,-2.013,-2.013,-2.013,-2.013,-2.013,-2.013,-2.013,-2.013
528,1.148,1.148,1.148,1.148,1.148,1.148,1.148,1.148,1.148,1.148,1.148,1.148
529,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359
530,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126,-0.126
531,0.6949999,0.6949999,0.6949999,0.6949999,0.6949999,0.6949999,0.6949999,0.6949999,0.6949999,0.6949999,0.6949999,0.6949999
532,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264,1.264
533,-1.617,-1.617,-1.617,-1.617,-1.617,-1.617,-1.617,-1.617,-1.617,-1.617,-1.617,-1.617
534,0.3660001,0.3660001,0.3660001,0.3660001,0.3660001,0.3660001,0.3660001,0.3660001,0.3660001,0.3660001,0.3660001,0.3660001
535,1.665,1.665,1.665,1.665,1.665,1.665,1.665,1.665,1.665,1.665,1.665,1.665
536,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995,2.995
537,1.563,1.563,1.563,1.563,1.563,1.563,1.563,1.563,1.563,1.563,1.563,1.563
538,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17
539,-1.268,-1.268,-1.268,-1.268,-1.268,-1.268,-1.268,-1.268,-1.268,-1.268,-1.268,-1.268
540,-1.113,-1.113,-1.113,-1.113,-1.113,-1.113,-1.113,-1.113,-1.113,-1.113,-1.113,-1.113
541,-1.94,-1.94,-1.94,-1.94,-1.94,-1.94,-1.94,-1.94,-1.94,-1.94,-1.94,-1.94
542,-2.46,-2.46,-2.46,-2.46,-2.46,-2.46,-2.46,-2.46,-2.46,-2.46,-2.46,-2.46
543,-2.131,-2.131,-2.131,-2.131,-2.131,-2.131,-2.131,-2.131,-2.131,-2.131,-2.131,-2.131
544,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.575
545,0.7080001,0.7080001,0.7080001,0.7080001,0.7080001,0.7080001,0.7080001,0.7080001,0.7080001,0.7080001,0.7080001,0.7080001
546,1.406,1.406,1.406,1.406,1.406,1.406,1.406,1.406,1.406,1.406,1.406,1.406
547,0.4299999,0.4299999,0.4299999,0.4299999,0.4299999,0.4299999,0.4299999,0.4299999,0.4299999,0.4299999,0.4299999,0.4299999
548,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
549,-1.37,-1.37,-1.37,-1.37,-1.37,-1.37,-1.37,-1.37,-1.37,-1.37,-1.37,-1.37
550,0.3940001,0.3940001,0.3940001,0.3940001,0.3940001,0.3940001,0.3940001,0.3940001,0.3940001,0.3940001,0.3940001,0.3940001
551,-1.044,-1.044,-1.044,-1.044,-1.044,-1.044,-1.044,-1.044,-1.044,-1.044,-1.044,-1.044
552,-0.849,-0.849,-0.849,-0.849,-0.849,-0.849,-0.849,-0.849,-0.849,-0.849,-0.849,-0.849
553,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138,-0.138
554,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844,0.844
555,-2.352,-2.352,-2.352,-2.352,-2.352,-2.352,-2.352,-2.352,-2.352,-2.352,-2.352,-2.352
556,-3.526,-3.526,-3.526,-3.526,-3.526,-3.526,-3.526,-3.526,-3.526,-3.526,-3.526,-3.526
557,-1.223,-1.223,-1.223,-1.223,-1.223,-1.223,-1.223,-1.223,-1.223,-1.223,-1.223,-1.223
558,-1.678,-1.678,-1.678,-1.678,-1.678,-1.678,-1.678,-1.678,-1.678,-1.678,-1.678,-1.678
559,-1.795,-1.795,-1.795,-1.795,-1.795,-1.795,-1.795,-1.795,-1.795,-1.795,-1.795,-1.795
560,-1.869,-1.869,-1.869,-1.869,-1.869,-1.869,-1.869,-1.869,-1.869,-1.869,-1.869,-1.869
561,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88,-1.88
562,-1.341,-1.341,-1.341,-1.341,-1.341,-1.341,-1.341,-1.341,-1.341,-1.341,-1.341,-1.341
563,-0.914,-0.914,-0.914,-0.914,-0.914,-0.914,-0.914,-0.914,-0.914,-0.914,-0.914,-0.914
564,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603
565,-0.933,-0.933,-0.933,-0.933,-0.933,-0.933,-0.933,-0.933,-0.933,-0.933,-0.933,-0.933
566,0.7340001,0.7340001,0.7340001,0.7340001,0.7340001,0.7340001,0.7340001,0.7340001,0.7340001,0.7340001,0.7340001,0.7340001
567,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005,1.005
568,-1.456,-1.456,-1.456,-1.456,-1.456,-1.456,-1.456,-1.456,-1.456,-1.456,-1.456,-1.456
569,-0.442,-0.442,-0.442,-0.442,-0.442,-0.442,-0.442,-0.442,-0.442,-0.442,-0.442,-0.442
570,-0.9229999,-0.9229999,-0.9229999,-0.9229999,-0.9229999,-0.9229999,-0.9229999,-0.9229999,-0.9229999,-0.9229999,-0.9229999,-0.9229999
571,-0.634,-0.634,-0.634,-0.634,-0.634,-0.634,-0.634,-0.634,-0.634,-0.634,-0.634,-0.634
572,-0.8840001,-0.8840001,-0.8840001,-0.8840001,-0.8840001,-0.8840001,-0.8840001,-0.8840001,-0.8840001,-0.8840001,-0.8840001,-0.8840001
573,-1.939,-1.939,-1.939,-1.939,-1.939,-1.939,-1.939,-1.939,-1.939,-1.939,-1.939,-1.939
574,-1.667,-1.667,-1.667,-1.667,-1.667,-1.667,-1.667,-1.667,-1.667,-1.667,-1.667,-1.667
575,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282
576,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918,0.918
577,1.355,1.355,1.355,1.355,1.355,1.355,1.355,1.355,1.355,1.355,1.355,1.355
578,2.154,2.154,2.154,2.154,2.154,2.154,2.154,2.154,2.154,2.154,2.154,2.154
579,1.976,1.976,1.976,1.976,1.976,1.976,1.976,1.976,1.976,1.976,1.976,1.976
