 YEAR, RECON
1612,0.379
1613,2.154
1614,-1.821
1615,1.527
1616,-1.608
1617,1.612
1618,-0.203
1619,-0.568
1620,-2.804
1621,-0.353
1622,1.169
1623,-0.804
1624,-0.863
1625,-1.026
1626,0.005
1627,-2.673
1628,-2.658
1629,-1.399
1630,-1.491
1631,-2.991
1632,-2.972
1633,-2.898
1634,-1.563
1635,-2.579
1636,-0.803
1637,-0.285
1638,-0.45
1639,0.193
1640,0.61
1641,0.769
1642,-0.184
1643,-1.475
1644,-1.392
1645,-2.659
1646,0.094
1647,0.338
1648,-1.142
1649,0.927
1650,-0.327
1651,1.613
1652,-0.847
1653,1.375
1654,-2.65
1655,0.606
1656,-0.174
1657,-0.461
1658,2.562
1659,1.326
1660,-0.403
1661,2.084
1662,0.352
1663,0.146
1664,0.457
1665,-0.613
1666,-0.67
1667,0.017
1668,-0.362
1669,1.312
1670,-2.265
1671,-0.971
1672,0.593
1673,2.916
1674,0.263
1675,1.688
1676,-1.768
1677,1.174
1678,0.423
1679,-1.133
1680,1.366
1681,-2.116
1682,-0.121
1683,1.348
1684,1.137
1685,-1.744
1686,-1.159
1687,-1.704
1688,-1.343
1689,-0.555
1690,-0.981
1691,-1.391
1692,1.094
1693,-1.618
1694,1.121
1695,0.438
1696,0.012
1697,-1.04
1698,-1.795
1699,-2.713
1700,-2.786
1701,-0.666
1702,-0.41
1703,-2.313
1704,-1.149
1705,1.461
1706,0.306
1707,-0.811
1708,-3.562
1709,-0.841
1710,0.755
1711,1.063
1712,-0.104
1713,-0.587
1714,-2.577
1715,-1.471
1716,2.644
1717,2.17
1718,-1.297
1719,0.489
1720,-0.345
1721,0.991
1722,-1.228
1723,-0.702
1724,0.732
1725,3.655
1726,-0.228
1727,-0.228
1728,-1.015
1729,2.221
1730,-0.366
1731,0.603
1732,-0.844
1733,0.441
1734,-1.195
1735,-0.619
1736,0.846
1737,-0.72
1738,-0.666
1739,2.532
1740,-0.287
1741,-1.368
1742,0.408
1743,-1.909
1744,-0.214
1745,1.609
1746,-3.694
1747,-0.276
1748,-3.904
1749,-0.954
1750,-0.256
1751,0.302
1752,-1.325
1753,0.127
1754,-0.081
1755,-2.619
1756,2.489
1757,-1.28
1758,-0.745
1759,-0.882
1760,1.026
1761,0.127
1762,-2.521
1763,-0.226
1764,-2.182
1765,-2.192
1766,0.373
1767,-1.978
1768,3.038
1769,-0.868
1770,-1.01
1771,-0.148
1772,-1.403
1773,-0.955
1774,-1.609
1775,1.276
1776,3.35
1777,1.125
1778,-1.341
1779,-0.058
1780,-0.201
1781,1.258
1782,-0.895
1783,-0.448
1784,-2.156
1785,0.461
1786,1.281
1787,0.041
1788,1.744
1789,-0.083
1790,-0.546
1791,-3.714
1792,-0.956
1793,1.666
1794,0.377
1795,0.123
1796,0.746
1797,-0.679
1798,-1.221
1799,-2.727
1800,1.031
1801,-0.132
1802,0.03
1803,-1.575
1804,0.282
1805,-0.763
1806,-2.615
1807,0.461
1808,0.953
1809,0.368
1810,-0.351
1811,-0.899
1812,0.058
1813,-1.195
1814,1.833
1815,1.047
1816,-0.664
1817,0.963
1818,-1.876
1819,-3.841
1820,-1.187
1821,-1.023
1822,-1.323
1823,-0.416
1824,1.072
1825,-0.563
1826,-1.113
1827,2.879
1828,1.523
1829,0.256
1830,1.693
1831,1.512
1832,1.217
1833,1.623
1834,0.064
1835,-0.116
1836,-0.469
1837,-1.699
1838,-2.715
1839,-4.23
1840,1.696
1841,-1.3
1842,0.473
1843,-1.471
1844,-1.921
1845,-2.055
1846,1.554
1847,0.746
1848,-0.386
1849,-0.268
1850,0.606
1851,0.215
1852,0.012
1853,-0.603
1854,0.821
1855,-1.645
1856,-2.764
1857,0.649
1858,-1.456
1859,-0.63
1860,-0.054
1861,-0.462
1862,2.247
1863,-0.377
1864,-2.5
1865,-0.701
1866,0.419
1867,0.241
1868,-1.165
1869,-0.576
1870,-1.092
1871,-1.838
1872,-2.258
1873,-0.707
1874,-1.863
1875,0.579
1876,-0.328
1877,-0.384
1878,0.831
1879,-3.002
1880,-1.918
1881,-0.85
1882,1.052
1883,0.698
1884,1.117
1885,-2.177
1886,0.859
1887,-2.468
1888,-0.059
1889,2.348
1890,-1.723
1891,-0.265
1892,0.85
1893,-1.295
1894,-2.865
1895,-2.26
1896,-0.237
1897,0.269
1898,-1.785
1899,-1.079
1900,-1.025
1901,0.245
1902,0.843
1903,2.656
1904,0.418
1905,-0.262
1906,0.033
1907,0.586
1908,1.033
1909,-0.142
1910,-1.427
1911,-3.211
1912,1.268
1913,-0.481
1914,-3.088
1915,0.943
1916,0.649
1917,0.126
1918,-1.505
1919,0.108
1920,0.278
1921,-0.329
1922,1.129
1923,-1.214
1924,1.296
1925,-2.914
1926,-2.253
1927,1.317
1928,2.266
1929,0.359
1930,-2.368
1931,-1.835
1932,-0.958
1933,-1.247
1934,-0.569
1935,0.537
1936,-2.333
1937,0.844
1938,2.113
1939,-0.018
1940,-1.059
1941,-1.323
1942,0.271
1943,0.303
1944,-2.037
1945,1.233
1946,1.912
1947,-0.145
1948,-0.035
1949,0.673
1950,0.737
1951,0.705
1952,-1.618
1953,0.055
1954,-1.952
1955,-1.012
1956,0.855
1957,0.791
1958,1.917
1959,-1.804
1960,-0.389
1961,1.004
1962,-0.438
1963,-0.862
1964,-1.285
1965,-0.99
1966,-2.246
1967,-0.616
1968,-1.034
