"year","pApril","pMay","pJune","pJuly","pAugust","pSeptember","pOctober","pNovmber","pDecember","j","f","m","a","m","j","j","a","s","o","n","d","mj"
1985,109.25,188.35,86.3,175.75,57.09999,22.3,123.5,120.25,71.3,63.2,93.95,51.45,59.89999,75.49999,83.95,99.8,154.7,24.1,61.69999,118.5,30.00001,79.724995
1986,59.89999,75.49999,83.95,99.8,154.7,24.1,61.69999,118.5,30.00001,30.7,141.6,47.45,39.14999,85.8,46.05,99.29999,176.35,143.45,77.99999,144.8,91.7,65.925
1987,39.14999,85.8,46.05,99.29999,176.35,143.45,77.99999,144.8,91.7,82.09999,82.95,71.5,84.04999,90.05,63.39999,65.74999,105.85,102.4,10.89999,39.75,117.55,76.724995
1988,84.04999,90.05,63.39999,65.74999,105.85,102.4,10.89999,39.75,117.55,70.8,44.1,36.65,90.19999,109.75,29.59999,126.4,93.3,145.55,41.39999,141.35,67.65001,69.674995
1989,90.19999,109.75,29.59999,126.4,93.3,145.55,41.39999,141.35,67.65001,118.15,108,95.2,93.99999,142.9,205.6,69.54999,107.95,133.7,90.45,110.05,49.45,174.25
1990,93.99999,142.9,205.6,69.54999,107.95,133.7,90.45,110.05,49.45,79.14999,114.35,92.89999,70.94999,153.9,78.45,110.75,97.15,81.1,101.65,35.85,200.45,116.175
1991,70.94999,153.9,78.45,110.75,97.15,81.1,101.65,35.85,200.45,60.05,146.4,141.75,92.49999,108.3,89.05,80.49999,105.05,81.75,47.59999,64.65,177.4,98.675
1992,92.49999,108.3,89.05,80.49999,105.05,81.75,47.59999,64.65,177.4,62,61.3,92.2,56.44999,116.15,116.65,101.1,141.45,68.39999,44.3,79.7,79.25001,116.4
1993,56.44999,116.15,116.65,101.1,141.45,68.39999,44.3,79.7,79.25001,76.55,67.15,105.8,71.84999,79.7,62.1,73.14999,120.25,85.45,84.74999,74.1,112.75,70.9
1994,71.84999,79.7,62.1,73.14999,120.25,85.45,84.74999,74.1,112.75,106.65,142.6,195.3,170.3,80.75,112.25,96.7,127.05,60,59.09999,72.05,65.60001,96.5
1995,170.3,80.75,112.25,96.7,127.05,60,59.09999,72.05,65.60001,177.45,67.9,72.35,62.89999,190.1,208.7,68.29999,155.7,60.25,120.7,92.5,53.85001,199.4
1996,62.89999,190.1,208.7,68.29999,155.7,60.25,120.7,92.5,53.85001,172.8,58.35,108.05,88.84999,152.85,113.35,124.9,97.15,117.5,36.59999,124.15,113.95,133.1
1997,88.84999,152.85,113.35,124.9,97.15,117.5,36.59999,124.15,113.95,119.55,114.95,233.45,101.85,154.5,222.25,85.05,48.45,85.25,70.05,75.65,73.2,188.375
1998,101.85,154.5,222.25,85.05,48.45,85.25,70.05,75.65,73.2,134.05,111.75,90.7,184.7,108.05,177.35,120.8,31.65,25.8,49.34999,62.8,83.8,142.7
1999,184.7,108.05,177.35,120.8,31.65,25.8,49.34999,62.8,83.8,184.7,72.14999,83.89999,65.49998,55.14999,121.3,84.49998,49,42.3,57.55,72.45,62.40001,88.224995
2000,65.49998,55.14999,121.3,84.49998,49,42.3,57.55,72.45,62.40001,94.7,75.10001,95.39999,137.65,50.44999,85.7,83.64999,91.6,103.7,10.99999,83.05,76.8,68.074995
2001,137.65,50.44999,85.7,83.64999,91.6,103.7,10.99999,83.05,76.8,60.84999,97.4,89.55,37.84999,119.1,73.95,153.3,69.15,80.95,55.59999,63.4,69.65001,96.525
2002,37.84999,119.1,73.95,153.3,69.15,80.95,55.59999,63.4,69.65001,90.8,34,150.7,91.24999,102.9,99.35,51.84999,58.39999,130.8,122.1,123.1,137.85,101.125
2003,91.24999,102.9,99.35,51.84999,58.39999,130.8,122.1,123.1,137.85,32.95,119.85,82.45,128.15,212.85,165.35,213.8,128.7,102.35,48.09999,127.2,84.6,189.1
2004,128.15,212.85,165.35,213.8,128.7,102.35,48.09999,127.2,84.6,65.7,71.25,82.39999,91.79999,182.25,156.2,166.6,90,153.65,83.3,163.45,90.50001,169.225
2005,91.79999,182.25,156.2,166.6,90,153.65,83.3,163.45,90.50001,94.1,64.10001,86.55,87.84999,57.15,152.25,180.25,134.8,16.95,28,75,78.75,104.7
2006,87.84999,57.15,152.25,180.25,134.8,16.95,28,75,78.75,132.8,57.85,62.7,124.45,69.34999,93.49999,109.75,119.55,167.4,116.15,84.95,100.05,81.42499
2007,124.45,69.34999,93.49999,109.75,119.55,167.4,116.15,84.95,100.05,98.59999,51.1,84.74999,79.55,29.95,68.34999,144.9,77.55,48.8,118.05,60.9,140.95,49.149995
2008,79.55,29.95,68.34999,144.9,77.55,48.8,118.05,60.9,140.95,102.5,123.7,135.1,112.85,78.74999,62.5,99.85,88.25,36.75,40.64999,56.55,142.3,70.624995
2009,112.85,78.74999,62.5,99.85,88.25,36.75,40.64999,56.55,142.3,104.35,56.35,81.5,109.4,199.25,142.3,129.8,93.2,169.45,132.3,79.65,176.5,170.775
